Year, HomeTeam_Name        , AwayTeam_Name        , HomeRuns, AwayRuns, RunDifferential, HomeTeam, AwayTeam, off_HR_home, off_PA_home, off_wOBA_home     , off_K%_home       , off_BB%_home      , off_Barrel%_home  , off_HardHit%_home , pch_HR_home, pch_TBF_home, pch_FIP_home      , pch_xFIP_home     , pch_K/9_home       , pch_BB/9_home     , pch_K-BB%_home    , pch_HR/9_home     , pch_Barrel%_home  , pch_HardHit%_home , off_HR_away, off_PA_away, off_wOBA_away     , off_K%_away       , off_BB%_away      , off_Barrel%_away  , off_HardHit%_away , pch_HR_away, pch_TBF_away, pch_FIP_away      , pch_xFIP_away     , pch_K/9_away       , pch_BB/9_away     , pch_K-BB%_away    , pch_HR/9_away     , pch_Barrel%_away  , pch_HardHit%_away
2022, St. Louis Cardinals  , Houston Astros       ,        4,        2, 2              , STL     , HOU     ,        78.0,      1901.0, 0.3731346659652814, 0.1704718569174118, 0.0930252498684902, 0.0866728037874802, 0.412087848500789 ,        41.0,       1608.0, 3.765130597014925 , 3.94981343283582  ,  6.760062189054726 , 2.134496268656717 , 0.1265192786069651, 0.930223880597015 , 0.067002487562189 , 0.3604956467661691,       148.0,      3572.0, 0.3541368980963045, 0.160357502799552 , 0.0956556550951847, 0.0947309630459126, 0.3987169652855543,        52.0,       2174.0, 3.3677828886844523, 3.480142594296228 ,  8.51071297148114  , 2.2492272309107637, 0.1744356025758969, 0.8743974241030359, 0.0708086476540938, 0.3919015639374424
2022, Baltimore Orioles    , Toronto Blue Jays    ,        5,        9, -4             , BAL     , TOR     ,       100.0,      3043.0, 0.3135185672034177, 0.2181649687808084, 0.0677663489976996, 0.0857840946434439, 0.3938008544199803,        26.0,        774.0, 4.4               , 4.39              ,  7.24              , 2.61              , 0.119             , 1.31              , 0.104             , 0.381             ,       147.0,      3683.0, 0.3460057018734727, 0.2038487645940808, 0.0864892750475155, 0.106157751832745 , 0.4862704317132772,        60.0,       2264.0, 3.4384938162544167, 3.659143109540636 ,  8.836590106007067 , 2.051647526501767 , 0.1809708480565371, 1.0055609540636044, 0.0762826855123675, 0.3769951413427562
2022, Oakland Athletics    , Los Angeles Angels   ,       10,        8, 2              , OAK     , LAA     ,        50.0,      1725.0, 0.3141930434782608, 0.1967495652173913, 0.0884417391304348, 0.0842539130434782, 0.3252834782608695,        25.0,        741.0, 4.21              , 4.35              ,  6.36              , 1.79              , 0.124             , 1.24              , 0.0959999999999999, 0.395             ,        74.0,      1741.0, 0.3509718552556002, 0.20707007466973  , 0.0853388856978747, 0.1193141872487076, 0.4262464101091327,        14.0,        660.0, 2.4               , 2.65              , 11.87              , 2.39              , 0.265             , 0.76              , 0.063             , 0.332
2022, Philadelphia Phillies, Toronto Blue Jays    ,        3,        2, 1              , PHI     , TOR     ,       124.0,      3092.0, 0.3342577619663647, 0.2353347347994825, 0.0838182406209573, 0.1139401681759379, 0.4488395860284605,        43.0,       1525.0, 3.380393442622951 , 3.320859016393442 ,  9.100577049180329 , 1.8867737704918035, 0.1980308196721311, 1.046577049180328 , 0.0728832786885245, 0.3428367213114754,       147.0,      3683.0, 0.3460057018734727, 0.2038487645940808, 0.0864892750475155, 0.106157751832745 , 0.4862704317132772,        60.0,       2264.0, 3.4384938162544167, 3.659143109540636 ,  8.836590106007067 , 2.051647526501767 , 0.1809708480565371, 1.0055609540636044, 0.0762826855123675, 0.3769951413427562
2022, Miami Marlins        , Houston Astros       ,       10,        2, 8              , MIA     , HOU     ,         6.0,       507.0, 0.268             , 0.12              , 0.051             , 0.019             , 0.268             ,        37.0,       1622.0, 3.3167077681874235, 3.412515413070284 ,  8.399568434032059 , 2.278557336621455 , 0.1711011097410603, 0.8205795314426634, 0.0692429099876695, 0.3695721331689273,       148.0,      3572.0, 0.3541368980963045, 0.160357502799552 , 0.0956556550951847, 0.0947309630459126, 0.3987169652855543,        52.0,       2174.0, 3.3677828886844523, 3.480142594296228 ,  8.51071297148114  , 2.2492272309107637, 0.1744356025758969, 0.8743974241030359, 0.0708086476540938, 0.3919015639374424
2022, Texas Rangers        , Milwaukee Brewers    ,        0,       11, -11            , TEX     , MIL     ,       113.0,      2689.0, 0.334395314243213 , 0.2057686872443287, 0.073759761993306 , 0.0994626255113425, 0.429423205652659 ,        11.0,        821.0, 3.27              , 3.8               ,  7.75              , 3.16              , 0.1219999999999999, 0.5               , 0.043             , 0.347             ,       126.0,      2989.0, 0.3268116426898628, 0.2321532285045165, 0.0986717965874874, 0.1068186684509869, 0.4423880896620943,        23.0,        797.0, 3.14              , 2.8500000000000005, 10.83              , 2.27              , 0.241             , 1.02              , 0.057             , 0.3410000000000001
2022, Seattle Mariners     , Los Angeles Dodgers  ,        7,        6, 1              , SEA     , LAD     ,       102.0,      3554.0, 0.323183455261677 , 0.1944158694428812, 0.0972971299943725, 0.0737805289814293, 0.3624797411367473,        81.0,       2324.0, 4.232469879518073 , 4.090654044750431 ,  7.854858003442342 , 2.5970352839931152, 0.1413304647160068, 1.3087607573149742, 0.0740047332185886, 0.3969259896729776,       154.0,      4280.0, 0.346836214953271 , 0.1900189252336448, 0.0977516355140186, 0.0959703271028037, 0.4311266355140187,        37.0,       1396.0, 3.507421203438396 , 3.9568696275071633,  7.734749283667621 , 1.9074212034383955, 0.1637808022922636, 0.9419699140401148, 0.0578839541547278, 0.2933904011461318
2022, Boston Red Sox       , Baltimore Orioles    ,        3,        2, 1              , BOS     , BAL     ,        69.0,      2485.0, 0.3492712273641851, 0.1864486921529175, 0.0805778672032193, 0.0902088531187122, 0.4233187122736418,        27.0,        773.0, 4.42              , 4.26              ,  8.77              , 3.6600000000000006, 0.132             , 1.3500000000000003, 0.09              , 0.4539999999999999,       100.0,      3043.0, 0.3135185672034177, 0.2181649687808084, 0.0677663489976996, 0.0857840946434439, 0.3938008544199803,        26.0,        774.0, 4.4               , 4.39              ,  7.24              , 2.61              , 0.119             , 1.31              , 0.104             , 0.381
2022, Atlanta Braves       , Philadelphia Phillies,        5,        1, 4              , ATL     , PHI     ,       135.0,      3128.0, 0.3407640664961637, 0.2452666240409207, 0.0844095268542199, 0.1322487212276214, 0.4845453964194373,        59.0,       2199.0, 3.511787175989086 , 3.329317871759891 ,  9.218672123692588 , 2.498522055479764 , 0.182262846748522 , 0.9988176443838108, 0.0676052751250568, 0.3833083219645293,       124.0,      3092.0, 0.3342577619663647, 0.2353347347994825, 0.0838182406209573, 0.1139401681759379, 0.4488395860284605,        43.0,       1525.0, 3.380393442622951 , 3.320859016393442 ,  9.100577049180329 , 1.8867737704918035, 0.1980308196721311, 1.046577049180328 , 0.0728832786885245, 0.3428367213114754
2022, New York Mets        , St. Louis Cardinals  ,        4,        6, -2             , NYM     , STL     ,       140.0,      4242.0, 0.348528760018859 , 0.1793514851485148, 0.0828033946251768, 0.0748967468175389, 0.3800228665723715,        19.0,        745.0, 3.6600000000000006, 3.72              ,  8.27              , 2.43              , 0.158             , 0.94              , 0.066             , 0.3279999999999999,        78.0,      1901.0, 0.3731346659652814, 0.1704718569174118, 0.0930252498684902, 0.0866728037874802, 0.412087848500789 ,        41.0,       1608.0, 3.765130597014925 , 3.94981343283582  ,  6.760062189054726 , 2.134496268656717 , 0.1265192786069651, 0.930223880597015 , 0.067002487562189 , 0.3604956467661691
